Year,Month,Day,Time UTC,Mag,Lat,Lon,Depth km,Region,IRIS ID,Timestamp
2016,7,1,19:22:40,4.5,24.95,95.39,132.3,MYANMAR,5186815,1467400960
2016,7,1,13:48:26,4.3,36.39,69.78,166.1,"HINDU KUSH REGION, AFGHANISTAN",5186816,1467380906
2016,6,29,09:10:29,4.6,29.57,81.18,9.1,NEPAL,5186619,1467191429
2016,6,27,05:27:44,4.6,32.21,69.63,50.9,PAKISTAN,5186459,1467005264
2016,6,27,03:35:04,4.2,36.08,70.32,125.4,"HINDU KUSH REGION, AFGHANISTAN",5186436,1466998504
2016,6,27,00:27:43,4.7,22.73,92.01,10,INDIA-BANGLADESH BORDER REGION,5186427,1466987263
2016,6,26,09:14:06,5,36.54,70.08,215.1,"HINDU KUSH REGION, AFGHANISTAN",5186384,1466932446
2016,6,23,11:35:38,5.4,36.43,70.67,213.1,"HINDU KUSH REGION, AFGHANISTAN",5186163,1466681738
2016,6,22,13:03:19,4.7,22.73,94.71,99.4,MYANMAR,5186075,1466600599
2016,6,21,05:49:46,3.6,27.95,85.57,10,NEPAL,5185989,1466488186
2016,6,18,16:54:27,4.3,37.05,71.17,113.4,AFGHANISTAN-TAJIKISTAN BORD REG.,5185810,1466268867
2016,6,15,09:02:16,5,36.1,70.3,112.1,"HINDU KUSH REGION, AFGHANISTAN",5185495,1465981336
2016,6,13,23:27:42,4.1,27.93,84.49,10,NEPAL-INDIA BORDER REGION,5186438,1465860462
2016,6,11,21:54:08,4.7,36.42,71.23,104.5,AFGHANISTAN-TAJIKISTAN BORD REG.,5185199,1465682048
2016,6,11,18:12:23,4.6,25.76,95.2,88.8,MYANMAR-INDIA BORDER REGION,5185194,1465668743
2016,6,10,23:11:18,4.8,37.56,71.82,118.5,AFGHANISTAN-TAJIKISTAN BORD REG.,5185128,1465600278
2016,6,10,14:21:08,4.3,22.7,93.81,40.6,MYANMAR-INDIA BORDER REGION,5186365,1465568468
2016,6,8,01:33:51,4.2,36.35,71.27,117.8,AFGHANISTAN-TAJIKISTAN BORD REG.,5184810,1465349631
2016,6,1,17:39:55,4.2,36.59,70.8,219.4,"HINDU KUSH REGION, AFGHANISTAN",5184271,1464802795
2016,5,29,06:45:59,4.5,36.06,70.81,92.1,"HINDU KUSH REGION, AFGHANISTAN",5184029,1464504359
2016,5,28,09:39:10,4.7,28.01,85.43,10,NEPAL,5183974,1464428350
2016,5,27,19:08:11,4.1,36.18,77.91,91.1,KASHMIR-XINJIANG BORDER REGION,5183990,1464376091
2016,5,27,05:03:11,4.6,26.52,96.45,74.8,MYANMAR,5183880,1464325391
2016,5,24,10:18:02,4.1,33.18,75.9,48.8,EASTERN KASHMIR,5183588,1464085082
2016,5,23,19:09:53,4.3,27.74,85.08,10,NEPAL,5183554,1464030593
2016,5,23,18:09:03,4.2,28.41,87.47,10,XIZANG,5183739,1464026943
2016,5,22,15:27:07,4.4,36.54,70.73,194.1,"HINDU KUSH REGION, AFGHANISTAN",5183459,1463930827
2016,5,22,04:49:45,4.4,28.61,87.59,10,XIZANG,5183426,1463892585
2016,5,22,02:05:55,5.1,28.52,87.42,10,XIZANG,5183412,1463882755
